,name,form,question_type,answer_min,answer_max,branch_logic
1,cog,examination_data,yes-no,1,3,NA
2,red_consciousness_confus,examination_data,selected,1,5,[cog]='1'
3,cogloss,examination_data,yes-no,1,4,[cog] = '1'
4,loc,examination_data,selected,1,4,[cog] = '1' and [cogloss] = '1'
5,ii,examination_data,yes-no,1,5,[cog] = '1'
6,ic,examination_data,yes-no,1,3,[cog] = '1'
7,fati,examination_data,yes-no,1,3,[cog] = '1'
19,mab,examination_data,yes-no,1,3,NA
20,adh,examination_data,yes-no,1,3,[mab] = '1'
21,depr,examination_data,yes-no,1,3,[mab] = '1'
22,ma,examination_data,yes-no,1,3,[mab] = '1'
23,sleep_disturbance,examination_data,yes-no,1,3,[mab] = '1'
29,type_of_personality_change___1,examination_data,checkbox,1,10,[mab] = '1'
30,type_of_personality_change___2,examination_data,checkbox,1,10,[mab] = '1'
31,type_of_personality_change___3,examination_data,checkbox,1,10,[mab] = '1'
32,type_of_personality_change___4,examination_data,checkbox,1,10,[mab] = '1'
33,type_of_personality_change___5,examination_data,checkbox,1,10,[mab] = '1'
34,type_of_personality_change___6,examination_data,checkbox,1,10,[mab] = '1'
35,type_of_personality_change___7,examination_data,checkbox,1,10,[mab] = '1'
36,type_of_personality_change___8,examination_data,checkbox,1,10,[mab] = '1'
37,type_of_personality_change___9,examination_data,checkbox,1,10,[mab] = '1'
38,type_of_personality_change___10,examination_data,checkbox,1,10,[mab] = '1'
39,s_e,examination_data,selected,1,4,NA
40,fs___1,examination_data,checkbox,1,4,[s_e] = '2' or [s_e] = '3'
41,fs___2,examination_data,checkbox,1,4,[s_e] = '2' or [s_e] = '3'
42,fs___3,examination_data,checkbox,1,4,[s_e] = '2' or [s_e] = '3'
43,fs___4,examination_data,checkbox,1,4,[s_e] = '2' or [s_e] = '3'
44,emd,examination_data,yes-no,1,3,NA
45,diplopia,examination_data,yes-no,1,3,[emd]='1'
46,nys,examination_data,selected,1,4,[emd] = '1'
52,crn,examination_data,yes-no,1,3,NA
53,fp,examination_data,yes-no,1,3,[crn] = '1'
54,od,examination_data,yes-no,1,3,[crn] = '1'
55,hi,examination_data,yes-no,1,3,[crn] = '1'
56,hp,examination_data,yes-no,1,3,[crn] = '1'
57,thy,examination_data,yes-no,1,3,[crn] = '1'
59,spsw,examination_data,yes-no,1,4,NA
66,dyp,examination_data,yes-no,1,3,NA
67,visi,examination_data,yes-no,1,3,NA
68,emp,examination_data,yes-no,1,3,[visi]='1'
69,var,examination_data,yes-no,1,3,[visi]='1'
70,type_of_visual_loss___1,examination_data,checkbox,1,5,[var] = '1'
71,type_of_visual_loss___2,examination_data,checkbox,1,5,[var] = '1'
72,type_of_visual_loss___3,examination_data,checkbox,1,5,[var] = '1'
73,type_of_visual_loss___4,examination_data,checkbox,1,5,[var] = '1'
74,type_of_visual_loss___5,examination_data,checkbox,1,5,[var] = '1'
75,cvi,examination_data,yes-no,1,3,[var] = '1'
76,cvd,examination_data,yes-no,1,3,[visi]='1'
77,sim,examination_data,yes-no,1,3,NA
78,sper,examination_data,yes-no,1,3,[sim] = '1'
79,localisation_numb___1,examination_data,checkbox,1,6,[sper] = '1'
80,localisation_numb___2,examination_data,checkbox,1,6,[sper] = '1'
81,localisation_numb___3,examination_data,checkbox,1,6,[sper] = '1'
82,localisation_numb___4,examination_data,checkbox,1,6,[sper] = '1'
83,localisation_numb___5,examination_data,checkbox,1,6,[sper] = '1'
84,localisation_numb___6,examination_data,checkbox,1,6,[sper] = '1'
85,vs,examination_data,yes-no,1,3,[sim] = '1'
86,impaired_pain_sensation___1,examination_data,checkbox,1,5,[sim] = '1'
87,impaired_pain_sensation___2,examination_data,checkbox,1,5,[sim] = '1'
88,impaired_pain_sensation___3,examination_data,checkbox,1,5,[sim] = '1'
89,impaired_pain_sensation___4,examination_data,checkbox,1,5,[sim] = '1'
90,impaired_pain_sensation___5,examination_data,checkbox,1,5,[sim] = '1'
91,localisation_of_pain___1,examination_data,checkbox,1,5,[impaired_pain_sensation___2] = '1' or [impaired_pain_sensation___3] = '1'
92,localisation_of_pain___2,examination_data,checkbox,1,5,[impaired_pain_sensation___2] = '1' or [impaired_pain_sensation___3] = '1'
93,localisation_of_pain___3,examination_data,checkbox,1,5,[impaired_pain_sensation___2] = '1' or [impaired_pain_sensation___3] = '1'
94,localisation_of_pain___4,examination_data,checkbox,1,5,[impaired_pain_sensation___2] = '1' or [impaired_pain_sensation___3] = '1'
95,localisation_of_pain___5,examination_data,checkbox,1,5,[impaired_pain_sensation___2] = '1' or [impaired_pain_sensation___3] = '1'
96,cersy,examination_data,yes-no,1,3,NA
97,trem,examination_data,yes-no,1,3,[cersy] = '1'
104,trem_type___1,examination_data,checkbox,1,7,[trem]= '1'
105,trem_type___2,examination_data,checkbox,1,7,[trem]= '1'
106,trem_type___3,examination_data,checkbox,1,7,[trem]= '1'
107,trem_type___4,examination_data,checkbox,1,7,[trem]= '1'
108,trem_type___5,examination_data,checkbox,1,7,[trem]= '1'
109,trem_type___6,examination_data,checkbox,1,7,[trem]= '1'
110,trem_type___7,examination_data,checkbox,1,7,[trem]= '1'
111,hyo,examination_data,yes-no,1,3,[cersy]='1'
112,dyt,examination_data,yes-no,1,3,[cersy]='1'
120,fmd,examination_data,yes-no,1,3,[cersy] = '1'
121,ataxia,examination_data,yes-no,1,3,[cersy]='1'
122,localisation_of_limb_ataxi___1,examination_data,checkbox,1,5,[ataxia]='1'
123,localisation_of_limb_ataxi___2,examination_data,checkbox,1,5,[ataxia]='1'
124,localisation_of_limb_ataxi___3,examination_data,checkbox,1,5,[ataxia]='1'
125,localisation_of_limb_ataxi___4,examination_data,checkbox,1,5,[ataxia]='1'
126,localisation_of_limb_ataxi___5,examination_data,checkbox,1,5,[ataxia]='1'
127,bd,examination_data,yes-no,1,3,NA
128,tb___1,examination_data,checkbox,1,6,[bd]='1'
129,tb___2,examination_data,checkbox,1,6,[bd]='1'
130,tb___3,examination_data,checkbox,1,6,[bd]='1'
131,tb___4,examination_data,checkbox,1,6,[bd]='1'
132,tb___5,examination_data,checkbox,1,6,[bd]='1'
133,tb___6,examination_data,checkbox,1,6,[bd]='1'
134,sexd,examination_data,yes-no,1,4,NA
135,edy,examination_data,yes-no,1,3,[sexd]='1'
136,ll,examination_data,yes-no,1,3,[sexd]='1'
138,prs,examination_data,yes-no,1,3,NA
139,tprs,examination_data,selected,1,6,[prs]='1'
140,severity_of_paresis,examination_data,selected,1,5,[tprs] = '1' or [tprs] = '2'  or [tprs] = '3' or [tprs] = '4'
141,musc_abn,examination_data,selected,1,3,NA
142,musc_troph___1,examination_data,checkbox,1,7,[musc_abn] = '2'
143,musc_troph___2,examination_data,checkbox,1,7,[musc_abn] = '2'
144,musc_troph___3,examination_data,checkbox,1,7,[musc_abn] = '2'
145,musc_troph___4,examination_data,checkbox,1,7,[musc_abn] = '2'
